overdriveNo,overdriveControlNo,sierraFormat_ext,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status
BEBF1ECD-D777-44EA-BFE3-86C27B0495BA,ODN0000860801,x,037,b11861227x,ocn906948631,OCoLC,x,n
F0302F37-61DE-425E-A152-F96660012569,ODN0002046718,x,037,b118622572,ocn906819894,OCoLC,x,n
B2D9A47E-4B69-480B-AB38-E95A15B49FFD,ODN0000543173,x,037,b116313729,ocn756635573,OCoLC,x,n
675A745E-88D6-4523-8DA6-F27577373232,ODN0003217293,x,037,b122032044,ocn988714221,,x,n
76E37F4A-27C3-4E16-A934-793EF63C18CD,ODN0003879418,x,037,b122033280,on1040261267,,x,n
D20B7885-43A1-4563-AFDB-DA8E8AAC4342,ODN0001240532,x,037,b118508817,ocn827208128,OCoLC,x,n
019E266E-6603-4A07-9B92-A7C352270FBE,ODN0003189056,x,037,b121670120,ocn976036460,,x,n
89567700-C5F4-45C5-BD04-03BC65146FB5,ODN0002588436,x,037,b119446704,ocn938358255,OCoLC,x,n
ED1F6A02-1671-44CC-8A06-357E3B149BAC,ODN0000983216,x,037,b119002899,ocn778567330,OCoLC,x,n
6683E311-33F0-4252-B4A8-2E5502D530A5,ODN0001929054,x,037,b118521263,ocn903125160,OCoLC,x,n
077FCE0A-1D22-428C-81CF-5A7E6654FDEC,ODN0002248986,x,037,b119098787,ocn922688505,OCoLC,x,n
CF858BC7-EB47-4FE4-B076-5AB1DDABFA3C,ODN0002419469,x,037,b119098015,ocn927105877,OCoLC,x,n
09C31EC4-FC0E-4607-A78D-319CA3531FB8,ODN0000583692,x,037,b116638989,ocn749142758,OCoLC,x,n
7CC1365E-82CB-4E57-8965-E531BE5E4DE6,ODN0001770991,x,037,b118462787,ocn893078115,OCoLC,x,n
019C8B3B-5296-432C-B11A-D4379DBA13D8,ODN0001879891,x,037,b118462738,ocn893078429,OCoLC,x,n
1CB6429E-2E15-46E4-B01E-59594E18C7BC,ODN0001879958,x,037,b118462830,ocn893078430,OCoLC,x,n
FFFADBDA-85B7-4274-B019-5359609A5FBD,ODN0001082987,x,037,b118540361,ocn855044631,OCoLC,x,n
D8625484-F766-4A4E-A2BC-950DD5C522FD,ODN0001190967,x,037,b118480510,ocn869544641,OCoLC,x,n
CD9720F8-AD21-475D-8BB9-918C5DB5E003,ODN0002046806,x,037,b118397060,ocn897840248,OCoLC,x,n
7BB93F73-528D-430D-B69D-40A63BDB2BD5,ODN0001764966,x,037,b118436983,ocn883332421,OCoLC,x,n
29E7D9A8-A6CB-4E7F-AE56-6C2B32884869,ODN0000632337,x,037,b117881156,ocn862069562,OCoLC,x,n
B972E89B-A6A7-4FCF-ABCB-67ACED6B8DA2,ODN0002069483,x,037,b118623308,ocn906836316,OCoLC,x,n
FF114C2A-7932-49C7-9A5E-2E0503CA6A06,ODN0001404191,x,037,b118442739,ocn886571692,OCoLC,x,n
599FEB62-86DD-45F4-BF58-34B75D309148,ODN0001542712,x,037,b118443069,ocn892933013,OCoLC,x,n
71228701-081A-4C27-8D44-E6E20A2B1352,ODN0002053697,x,037,b118802963,ocn907950701,OCoLC,x,n
C08C3A81-DCED-4D69-A695-8D368B9251DC,ODN0001973492,x,037,b118668559,ocn906029626,OCoLC,x,n
6154F4B6-F38B-4515-9832-92E6F57038CB,ODN0000514970,x,037,b117883906,ocn861523799,OCoLC,x,n
F7BDD7E5-4247-4B6A-8AE7-B06DC2C592A7,ODN0001954919,x,037,b120054310,ocn890645362,,x,n
0A31CA23-441D-4916-B040-FB1F4FF87ADE,ODN0001646604,x,037,b118172207,ocn874923840,OCoLC,x,n
5D9FB321-5A14-4097-95A2-FF662EEC3B98,ODN0002175899,x,037,b118719762,ocn907678114,OCoLC,x,n
549E2BB7-F9B6-4178-B274-439E8A9A2E8E,ODN0001309415,x,037,b118502165,ocn735524399,OCoLC,x,n
8E0A4DC8-A8FC-4D2A-846C-1DFC4C611A45,ODN0000719965,x,037,b11762679x,ocn801464611,OCoLC,x,n
347C504C-F5FB-4D9E-AC14-F932761324D8,ODN0003614210,x,037,b121414590,ocn978870342,,x,n
DFE73FFD-BAA4-4D48-8F49-B4F5947F8F70,ODN0001266765,x,037,b118178209,ocn855502109,OCoLC,x,n
6628E240-7E74-4F89-A32E-0771ED4870DF,ODN0004068975,x,037,b121671732,on1062465320,,x,n
