overdriveNo,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status,overdriveControlNo,sierraFormat_ext,_merge
5EEE6BAF-ACBE-4A5D-A927-1A033B3196C2,url,b11488514x,ocn173522536,OCoLC,z,-,,,left_only
272FF23D-757F-4653-A97A-4E512D9E282F,url,b114893354,ocn130141232,OCoLC,z,-,,,left_only
2076FE3E-B633-47AC-B1DA-96DFBD23C1DA,037,b114989527,ocn235391494,OCoLC,x,-,,,left_only
C7886A88-05F0-4177-92F3-2495CA39F0A7,url,b114989631,ocn137237128,OCoLC,z,-,,,left_only
9220CD7B-7CA8-4202-AF3A-620105706D98,url,b114991042,ocm71008898,OCoLC,z,-,,,left_only
F961BF55-31E1-4AEE-AADE-7C86D17ECFFA,url,b115033051,ocn440830976,OCoLC,z,-,,,left_only
B41431F2-95E6-4962-8C1B-43D07A3E209D,url,b115033555,ocn455358216,OCoLC,z,-,,,left_only
414D4C72-8C9B-4545-8973-BD54998B6816,037,b115056592,ocn458558405,OCoLC,x,-,,,left_only
A84FF691-FB3B-4B68-94DA-1976C19BA4D5,037,b115130664,ocn458648056,OCoLC,x,-,,,left_only
9A91AB8F-5763-4A6B-B3B0-59E8C659B6F2,037,b115130718,ocn459783191,OCoLC,x,-,,,left_only
0E45F99F-4CBF-4E1A-864A-52107EA6C9A9,037,b115130792,ocn460160874,OCoLC,x,-,,,left_only
13055275-5BA4-4B8B-98BD-9CE6D13A4CE4,url,b115134992,ocn464895898,OCoLC,z,-,,,left_only
DA31C026-D49A-4D4F-9284-3FB45B178181,url,b115230889,ocn464606256,OCoLC,z,-,,,left_only
6530889F-B629-4A29-9D7A-8E6BF65DCE9E,037,b11523620x,ocn492100143,OCoLC,x,-,,,left_only
A8A8879A-CDC1-41C7-BCD0-19D940C14327,037,b115335663,ocn449187295,OCoLC,x,-,,,left_only
94DEFD1E-E5F6-4136-B207-51F9AF6A0000,037,b115345681,ocn456678172,OCoLC,x,-,,,left_only
19710700-C2BA-453B-99CA-D5FA08AE87FB,037,b115347124,ocn516290216,OCoLC,x,-,,,left_only
1E3774F8-AA2B-45FB-B61E-452AC0524641,037,b115347173,ocn516352369,OCoLC,x,-,,,left_only
3D34B89F-1F87-4F27-8571-4600E22AC6C5,037,b115347215,ocn516352553,OCoLC,x,-,,,left_only
A9A25453-1F12-4B13-A6C5-87019AA9E86D,037,b115347276,ocn516464196,OCoLC,x,-,,,left_only
DC03E366-D229-401B-BA16-7642B68E572C,037,b115347446,ocn518440855,OCoLC,x,-,,,left_only
FD087666-2687-4D9D-A7FC-5147B0EF22E5,037,b115347458,ocn518441070,OCoLC,x,-,,,left_only
2B163658-1477-4AC5-9C0F-299924F929BA,037,b115347641,ocn519649470,OCoLC,x,-,,,left_only
5F3AF35A-2EE5-4270-8167-73F9CD8C8C5B,037,b11554995x,ocn460587638,OCoLC,x,-,,,left_only
D3FABF27-DA6E-487A-A87D-D82C723F4FFB,037,b115551955,ocn535501840,OCoLC,x,-,,,left_only
E2800939-80EF-4CA8-B1AE-125364B3BA6D,037,b115552601,ocn547103198,OCoLC,x,-,,,left_only
53EDB5F0-17AA-4904-9A16-EF62B0C392F0,037,b115554506,ocn605037856,OCoLC,x,-,,,left_only
A100FD11-EFD9-4846-9729-E17BC920E62B,037,b115559917,ocn505869709,OCoLC,x,-,,,left_only
12C88CA9-4E62-43B4-9018-37295DDA6DB7,037,b115559954,ocn505930629,OCoLC,x,-,,,left_only
91C09DDF-C8B3-440D-A202-5E0DF2D5DF46,037,b115560907,ocn607526427,OCoLC,x,-,,,left_only
70576F85-38D6-4800-A098-CC0D06DBBBE6,url,b115564020,ocn611942621,OCoLC,z,-,,,left_only
0C41BA49-AF69-4838-8B44-6B0418DEAB83,037,b115643382,ocn642902870,OCoLC,x,-,,,left_only
12989558-E354-46EA-8926-61E87962FE5F,037,b115643746,ocn643565151,OCoLC,x,-,,,left_only
82BD1C33-F6A0-4C14-9B96-7C2E9094AF0A,037,b115644519,ocn649707659,OCoLC,x,-,,,left_only
5D37C26B-8DC0-4AE4-ACD0-142DC2C1B2E8,037,b115650052,ocn609413164,OCoLC,x,-,,,left_only
2DB94BF8-6986-44A2-B15D-4F0DE4E6A3F6,037,b115650271,ocn609413161,OCoLC,x,-,,,left_only
94BFC8A7-F364-4B13-B600-BB051DA8489B,037,b115764148,ocn656960199,OCoLC,x,-,,,left_only
5760BF7A-CC57-4F3E-AEEB-FEFF04A627DD,037,b115764318,ocn656961150,OCoLC,x,-,,,left_only
C12D365D-7EFB-44CE-A2F3-AD438AC4FD54,url,b115768853,ocm66144970,OCoLC,z,-,,,left_only
532F13C9-5544-4417-B269-559B7E059577,url,b115768877,ocm68483473,OCoLC,z,-,,,left_only
0432E9A2-5825-4E2F-8EAE-3371E54DA12E,037,b115789832,ocn668224485,OCoLC,x,-,,,left_only
84915198-3B09-4A8C-A008-A348D60545FA,037,b115790822,ocn680284536,OCoLC,x,-,,,left_only
08B7ED9C-8216-4E55-9A43-BD3561A39138,037,b115790974,ocn680284747,OCoLC,x,-,,,left_only
BA5DC725-646D-4F6D-8EF6-A89E8E8F648B,037,b115806878,ocn681733203,OCoLC,x,-,,,left_only
E1A54BCD-AE8F-445A-96B0-FE2386704D46,037,b115836032,ocn664275208,OCoLC,x,-,,,left_only
34A7BAC7-69F3-4CB0-AA86-696F99C72289,037,b115836202,ocn664848114,OCoLC,x,-,,,left_only
748D0ACE-C7C3-4E06-B055-79114927D33E,037,b115837176,ocn611543031,OCoLC,x,-,,,left_only
FEE214C2-E4CC-434F-B920-B00364179286,037,b11586460x,ocn696243243,OCoLC,x,-,,,left_only
F506A7FA-55EE-4FE3-9697-AFE1ECC3BD7F,037,b115971129,ocn463333667,OCoLC,x,-,,,left_only
112AB7E3-94CE-479E-8A8A-2ADFAB1F596A,037,b115971154,ocn652944327,OCoLC,x,-,,,left_only
0784B193-ED5F-4430-A7FC-2D1BA4CE6ABF,037,b115971245,ocn652726149,OCoLC,x,-,,,left_only
98C1D4C7-1546-441D-A3D8-4DCD4A55CF8A,037,b115971324,ocn689052388,OCoLC,x,-,,,left_only
C2B0687B-53E8-4434-8127-83A72DA18D80,037,b11597152x,ocn570638573,OCoLC,x,-,,,left_only
B7602AF5-6224-406B-A4E9-5922DA9EF233,037,b115971622,ocn434006554,OCoLC,x,-,,,left_only
57844706-20FA-4ACE-B5EE-3470B1B52173,037,b115971634,ocn436868669,OCoLC,x,-,,,left_only
2A58DE18-B2CA-4734-AF4D-465CF5371235,037,b115971749,ocn698361006,OCoLC,x,-,,,left_only
FB81E012-19AC-42B6-A4F5-FCB0E7A7829B,037,b115971786,ocn432285510,OCoLC,x,-,,,left_only
DFDA6E54-C616-431D-89D2-0D3CA8CF5A46,037,b115971804,ocn432702929,OCoLC,x,-,,,left_only
A8B3A7DF-2B6E-4DC1-AF33-FAE7F0301080,037,b115971853,ocn527796870,OCoLC,x,-,,,left_only
FCF6B468-CDD3-4CEE-9DC5-6C5D8F01ECF6,037,b115971889,ocn698472483,OCoLC,x,-,,,left_only
68B0CCE3-24BD-4AF8-8608-FD65FCB69D09,037,b115971920,ocn319519112,OCoLC,x,-,,,left_only
225DBFC5-F8ED-4A80-856E-A56D38278144,037,b115996102,ocn708581428,OCoLC,x,-,,,left_only
0F10A8B6-0276-4DD1-BA63-673B0093ADDB,037,b116001100,ocn688486118,OCoLC,x,-,,,left_only
8F30D1E9-71C3-4088-AB1D-97B78E5C5DEC,037,b116001136,ocn688505747,OCoLC,x,-,,,left_only
99013E27-7C87-4A83-AD3A-8436309A4A27,037,b116002153,ocn643345126,OCoLC,x,-,,,left_only
