overdriveNo,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status,overdriveControlNo,sierraFormat_ext,_merge
59F55E81-4DE0-43C3-B6DD-9D4E9B195B62,,,,,,,ODN0004875712,z,right_only
F5A97B33-0802-4ACE-82ED-DCCAF26CA4D0,,,,,,,ODN0000076487,z,right_only
90790574-0E5C-460E-B593-D7FA2F9F7EF0,,,,,,,ODN0005217595,z,right_only
BAF121B8-6E2E-40A3-A058-BBC80DFC7326,,,,,,,ODN0005208872,z,right_only
7FFF0530-9DD8-4767-97FB-78ACD877FC6B,,,,,,,ODN0002017256,z,right_only
EDFDB39E-274F-48A2-8A6B-BB8F3CD65D5D,,,,,,,ODN0005168210,z,right_only
4E5B4490-DEE6-4B5B-80D4-2857AC85B81E,,,,,,,ODN0000103496,z,right_only
7FA7319C-D8BB-4F8F-974A-61C5A7C3B84E,,,,,,,ODN0005275189,z,right_only
131BA6F0-27DF-42D9-89B8-A202011CA0F9,,,,,,,ODN0000113598,z,right_only
F4B6B152-E5C2-46EE-9B65-F6AF76D3EAB9,,,,,,,ODN0004773127,z,right_only
0CC80700-E0FA-42EE-A765-92D408BBF74B,,,,,,,ODN0005168212,z,right_only
3DC743E6-5C1B-4D63-A6EF-C5E85E3655BC,,,,,,,ODN0003682394,z,right_only
0F3CC4DC-91A5-4660-B932-D668F10631DA,,,,,,,ODN0005168213,z,right_only
1B41234D-779B-4275-9504-61521DDDC7CC,,,,,,,ODN0004875723,z,right_only
6DA1063B-14AA-4DB6-801B-FC5D06F6590C,,,,,,,ODN0004789242,z,right_only
A1E1CE91-7E61-43B2-84FC-3BEB3DD2C797,,,,,,,ODN0005195489,z,right_only
FED1F242-8201-4C3E-AE31-AC942E81634E,,,,,,,ODN0000661338,z,right_only
A202D576-377D-48A3-A099-D0B7458D0BBB,,,,,,,ODN0000076507,z,right_only
C311AAA5-AF8D-46E8-85A2-34663E6BD3FF,,,,,,,ODN0005286313,z,right_only
67749D04-AE20-4C79-98A4-57A6EBE15C0F,,,,,,,ODN0000602478,z,right_only
36152F84-8FB5-476A-9FCF-4AAB708227F5,,,,,,,ODN0005077450,z,right_only
A6E38ECF-DA7B-45C5-B209-A3AAE03BE3EF,,,,,,,ODN0005243405,z,right_only
AF2203A5-CE4A-4642-B9D3-6A5B84C6C7B0,,,,,,,ODN0005286315,z,right_only
635EE3D7-0B25-4523-A253-81B009EE5D80,,,,,,,ODN0005005421,z,right_only
69E449FC-B1C4-4572-B44D-D93368854D8E,,,,,,,ODN0000076219,z,right_only
5A242B4A-9595-4FE2-99C2-42BB59CA4EA9,,,,,,,ODN0000161647,z,right_only
AA57DA41-7991-46CE-97EB-87BFB574EE6A,,,,,,,ODN0000317081,z,right_only
91B423C0-78C1-4E20-92B0-7D8B29FDB250,,,,,,,ODN0000076332,z,right_only
